X [ m ], Y [ m ], Z [ m ], Density [ kg m^-3 ], Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
4.34182808e-02, 4.04676981e-02, -4.52121869e-02, 3.53628969e+00, 4.56691900e+06, 3.46657349e+03, 0.00000000e+00
4.90895733e-02, 4.60631251e-02, -4.51817662e-02, 3.54129767e+00, 4.57434350e+06, 3.46741602e+03, 0.00000000e+00
3.15055735e-02, 3.02019063e-02, -4.10043672e-02, 3.49584007e+00, 4.50886750e+06, 3.46026782e+03, 0.00000000e+00
2.94518732e-02, 3.32971253e-02, -4.72291447e-02, 3.51840186e+00, 4.54100500e+06, 3.46378418e+03, 0.00000000e+00
2.79016327e-02, 3.67286876e-02, -5.23577966e-02, 3.52978444e+00, 4.55739850e+06, 3.46552734e+03, 0.00000000e+00
2.72452738e-02, 4.19507958e-02, -5.77258877e-02, 3.53797650e+00, 4.56939050e+06, 3.46683789e+03, 0.00000000e+00
2.26262156e-02, 4.87523377e-02, -6.45039082e-02, 3.54261541e+00, 4.57627500e+06, 3.46761475e+03, 0.00000000e+00
1.94201432e-02, 5.49648926e-02, -6.86657205e-02, 3.54478788e+00, 4.57951350e+06, 3.46797534e+03, 0.00000000e+00
2.79951338e-02, 6.45407587e-02, -6.89141676e-02, 3.54594517e+00, 4.58119200e+06, 3.46813843e+03, 0.00000000e+00
3.21224965e-02, 6.94906563e-02, -6.80577531e-02, 3.54569268e+00, 4.58077550e+06, 3.46807397e+03, 0.00000000e+00
3.65240760e-02, 7.63675496e-02, -6.63807541e-02, 3.54439545e+00, 4.57874100e+06, 3.46779761e+03, 0.00000000e+00
4.14494611e-02, 8.19849744e-02, -6.34363741e-02, 3.54303837e+00, 4.57657100e+06, 3.46748364e+03, 0.00000000e+00
4.48814221e-02, 8.69582966e-02, -6.10564426e-02, 3.54211807e+00, 4.57508900e+06, 3.46726196e+03, 0.00000000e+00
4.81770486e-02, 8.19849744e-02, -5.84910512e-02, 3.54303908e+00, 4.57657850e+06, 3.46748901e+03, 0.00000000e+00
5.11780679e-02, 7.19978586e-02, -5.55869639e-02, 3.54528594e+00, 4.58016100e+06, 3.46800708e+03, 0.00000000e+00
5.36930487e-02, 6.70158863e-02, -5.22261001e-02, 3.54589701e+00, 4.58113050e+06, 3.46814209e+03, 0.00000000e+00
2.05380134e-02, 6.14842996e-02, -7.07129464e-02, 3.54589915e+00, 4.58114000e+06, 3.46814038e+03, 0.00000000e+00
5.30762188e-02, 5.26637174e-02, -4.62171175e-02, 3.54405499e+00, 4.57846100e+06, 3.46788428e+03, 0.00000000e+00
5.56690395e-02, 6.21100292e-02, -4.84748632e-02, 3.54592562e+00, 4.58121950e+06, 3.46817578e+03, 0.00000000e+00
3.85584868e-02, 3.32971253e-02, -4.01403531e-02, 3.51851130e+00, 4.54117400e+06, 3.46380835e+03, 0.00000000e+00
4.39107344e-02, 3.67286876e-02, -3.98959555e-02, 3.52993631e+00, 4.55764350e+06, 3.46556812e+03, 0.00000000e+00
4.92772050e-02, 4.19507958e-02, -4.05751169e-02, 3.53808880e+00, 4.56959650e+06, 3.46688647e+03, 0.00000000e+00
5.42795509e-02, 4.76558432e-02, -4.04945016e-02, 3.54245758e+00, 4.57609450e+06, 3.46762964e+03, 0.00000000e+00
3.09922844e-02, 2.74747871e-02, -3.60318795e-02, 3.44974995e+00, 4.43902450e+06, 3.45193018e+03, 0.00000000e+00
2.53524166e-02, 2.43073292e-02, -3.45959850e-02, 3.35324168e+00, 4.28696400e+06, 3.43231567e+03, 0.00000000e+00
2.62123924e-02, 2.94803698e-02, -4.33681868e-02, 3.49261880e+00, 4.50407750e+06, 3.45971826e+03, 0.00000000e+00
2.26820577e-02, 3.67286876e-02, -5.48212044e-02, 3.52980804e+00, 4.55741500e+06, 3.46551782e+03, 0.00000000e+00
2.23648213e-02, 3.02019063e-02, -4.66237478e-02, 3.49562788e+00, 4.50855250e+06, 3.46022974e+03, 0.00000000e+00
2.07289923e-02, 4.19507958e-02, -6.03729412e-02, 3.53798509e+00, 4.56939900e+06, 3.46683594e+03, 0.00000000e+00
1.74620971e-02, 4.44857776e-02, -6.33383766e-02, 3.54011202e+00, 4.57254350e+06, 3.46718896e+03, 0.00000000e+00
1.51424333e-02, 5.04122041e-02, -6.75562546e-02, 3.54336190e+00, 4.57738450e+06, 3.46773657e+03, 0.00000000e+00
1.23683149e-02, 5.67077175e-02, -7.09997714e-02, 3.54530001e+00, 4.58026600e+06, 3.46805298e+03, 0.00000000e+00
2.44399142e-02, 6.94906563e-02, -7.11786747e-02, 3.54569435e+00, 4.58077700e+06, 3.46807397e+03, 0.00000000e+00
2.84894127e-02, 7.44982362e-02, -7.01306537e-02, 3.54488039e+00, 4.57950150e+06, 3.46790210e+03, 0.00000000e+00
3.23566869e-02, 7.94983134e-02, -6.85538575e-02, 3.54375172e+00, 4.57770650e+06, 3.46764478e+03, 0.00000000e+00
3.60843651e-02, 8.44716355e-02, -6.66671172e-02, 3.54269004e+00, 4.57599900e+06, 3.46739136e+03, 0.00000000e+00
3.97024527e-02, 8.94449577e-02, -6.45778775e-02, 3.54185414e+00, 4.57465700e+06, 3.46719263e+03, 0.00000000e+00
4.36203219e-02, 9.62832794e-02, -6.19834550e-02, 3.54098582e+00, 4.57325450e+06, 3.46697998e+03, 0.00000000e+00
4.81770486e-02, 9.19316113e-02, -5.84910512e-02, 3.54158664e+00, 4.57423450e+06, 3.46713428e+03, 0.00000000e+00
5.13263233e-02, 8.19849744e-02, -5.57480007e-02, 3.54303837e+00, 4.57658300e+06, 3.46749292e+03, 0.00000000e+00
